id	dist_method	tree_method	rf
84	weighted_hamming	upgma	0.583732057416268
84	weighted_hamming	fastme	0.489878542510121
84	weighted_hamming	fastme_tree_rearrangement	0.449760765550239
85	weighted_hamming	nj	0.474981329350261
85	weighted_hamming	upgma	0.504854368932039
85	weighted_hamming	fastme	0.461538461538462
85	weighted_hamming	fastme_tree_rearrangement	0.421209858103062
86	weighted_hamming	nj	0.531216931216931
86	weighted_hamming	upgma	0.583068783068783
86	weighted_hamming	fastme	0.483597883597884
86	weighted_hamming	fastme_tree_rearrangement	0.439153439153439
87	weighted_hamming	nj	0.558741258741259
87	weighted_hamming	upgma	0.58041958041958
87	weighted_hamming	fastme	0.513286713286713
87	weighted_hamming	fastme_tree_rearrangement	0.453846153846154
88	weighted_hamming	nj	0.511059371362049
88	weighted_hamming	upgma	0.552968568102445
88	weighted_hamming	fastme	0.477299185098952
88	weighted_hamming	fastme_tree_rearrangement	0.421420256111758
89	weighted_hamming	nj	0.51969696969697
89	weighted_hamming	upgma	0.581818181818182
89	weighted_hamming	fastme	0.472727272727273
89	weighted_hamming	fastme_tree_rearrangement	0.454545454545455
90	weighted_hamming	nj	0.53968253968254
90	weighted_hamming	upgma	0.54421768707483
90	weighted_hamming	fastme	0.486394557823129
90	weighted_hamming	fastme_tree_rearrangement	0.458049886621315
91	weighted_hamming	nj	0.50752688172043
91	weighted_hamming	upgma	0.578494623655914
91	weighted_hamming	fastme	0.439784946236559
91	weighted_hamming	fastme_tree_rearrangement	0.405376344086022
92	weighted_hamming	nj	0.518061674008811
92	weighted_hamming	upgma	0.529074889867841
92	weighted_hamming	fastme	0.500440528634361
92	weighted_hamming	fastme_tree_rearrangement	0.468281938325991
93	weighted_hamming	nj	0.498751872191712
93	weighted_hamming	upgma	0.507738392411383
93	weighted_hamming	fastme	0.502246630054918
93	weighted_hamming	fastme_tree_rearrangement	0.475287069395906
94	weighted_hamming	nj	0.517868145409735
94	weighted_hamming	upgma	0.517868145409735
94	weighted_hamming	fastme	0.478743068391867
94	weighted_hamming	fastme_tree_rearrangement	0.450708564386938
95	weighted_hamming	nj	0.478922716627635
95	weighted_hamming	upgma	0.536299765807963
95	weighted_hamming	fastme	0.451990632318501
95	weighted_hamming	fastme_tree_rearrangement	0.428571428571429
96	weighted_hamming	nj	0.486121530382596
96	weighted_hamming	upgma	0.522130532633158
96	weighted_hamming	fastme	0.441110277569392
96	weighted_hamming	fastme_tree_rearrangement	0.412603150787697
97	weighted_hamming	nj	0.514240506329114
97	weighted_hamming	upgma	0.537974683544304
97	weighted_hamming	fastme	0.458860759493671
97	weighted_hamming	fastme_tree_rearrangement	0.416139240506329
98	weighted_hamming	nj	0.504626334519573
98	weighted_hamming	upgma	0.530960854092527
98	weighted_hamming	fastme	0.500355871886121
98	weighted_hamming	fastme_tree_rearrangement	0.476868327402135
99	weighted_hamming	nj	0.53171196948021
99	weighted_hamming	upgma	0.585121602288984
99	weighted_hamming	fastme	0.490701001430615
99	weighted_hamming	fastme_tree_rearrangement	0.457319980925131
100	weighted_hamming	nj	0.436594202898551
100	weighted_hamming	upgma	0.475845410628019
100	weighted_hamming	fastme	0.448671497584541
100	weighted_hamming	fastme_tree_rearrangement	0.43719806763285
